01-01 01:00:57.080 I/am_proc_start(  573): [0,1203,10020,com.android.vending,broadcast,com.android.vending/com.google.android.finsky.BootCompletedReceiver]
01-01 01:00:57.097 I/am_proc_bound(  573): [0,1203,com.android.vending]
01-01 01:00:57.225 I/notification_cancel(  573): [10020,1203,com.android.vending,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.195 I/am_proc_start(  573): [0,1225,10025,com.google.android.apps.fitness,broadcast,com.google.android.apps.fitness/com.google.android.wearable.fitness.InitializeBroadcastReceiver]
01-01 01:00:58.213 I/am_proc_bound(  573): [0,1225,com.google.android.apps.fitness]
01-01 01:00:58.510 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.516 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.593 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.594 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.595 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.607 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.608 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.608 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.609 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.609 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.737 I/notification_enqueue(  573): [10025,1225,com.google.android.apps.fitness,1,NULL,0,Notification(pri=-1 contentView=null vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=PRIVATE),0]
01-01 01:00:58.801 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.801 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.801 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.803 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:00:58.875 I/notification_enqueue(  573): [10025,1225,com.google.android.apps.fitness,1,NULL,0,Notification(pri=-1 contentView=null vibrate=null sound=null defaults=0x0 flags=0x0 color=0x00000000 vis=PRIVATE),1]
01-01 01:00:59.368 I/wm_stack_created(  573): [1,0,0,0,0]
01-01 01:00:59.372 I/am_home_stack_moved(  573): [0,0,1,1,startingNewTask]
01-01 01:00:59.372 I/am_create_task(  573): [0,125]
01-01 01:00:59.372 I/am_create_activity(  573): [0,367906466,125,com.lge.wearable.chargingmode/.ChargingActivity,android.intent.action.MAIN,NULL,NULL,270532608]
01-01 01:00:59.374 I/wm_task_created(  573): [125,1]
01-01 01:00:59.374 I/wm_task_moved(  573): [125,1,0]
01-01 01:00:59.378 I/am_pause_activity(  573): [0,856648270,com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity]
01-01 01:00:59.379 I/am_home_stack_moved(  573): [0,0,1,1,startedActivity setFocusedActivity]
01-01 01:00:59.379 I/am_focused_activity(  573): [0,com.lge.wearable.chargingmode/.ChargingActivity]
01-01 01:00:59.387 I/am_on_paused_called(  735): [0,com.google.android.clockwork.home.HomeActivity]
01-01 01:00:59.431 I/am_proc_start(  573): [0,1273,10002,com.lge.wearable.chargingmode,activity,com.lge.wearable.chargingmode/.ChargingActivity]
01-01 01:00:59.517 I/am_proc_bound(  573): [0,1273,com.lge.wearable.chargingmode]
01-01 01:00:59.523 I/am_restart_activity(  573): [0,367906466,125,com.lge.wearable.chargingmode/.ChargingActivity]
01-01 01:00:59.583 I/force_gc(  573): Binder
01-01 01:00:59.786 I/notification_enqueue(  573): [10004,735,com.google.android.wearable.app,-1835145010,cal_notif,0,Notification(pri=0 contentView=null vibrate=null sound=null defaults=0x0 flags=0x100 color=0x00000000 groupKey=/cal/top/0 sortKey=z01447023600000-01447110000000-209 vis=PRIVATE),0]
01-01 01:00:59.829 I/am_on_resume_called( 1273): [0,com.lge.wearable.chargingmode.ChargingActivity]
01-01 01:00:59.937 I/notification_enqueue(  573): [10004,735,com.google.android.wearable.app,875576614,cal_notif,0,Notification(pri=0 contentView=null vibrate=[0] sound=null defaults=0x0 flags=0x300 color=0x00000000 groupKey=/cal/top/0 vis=PRIVATE),0]
01-01 01:01:00.410 I/am_activity_launch_time(  573): [0,367906466,com.lge.wearable.chargingmode/.ChargingActivity,1022,1022]
01-01 01:01:00.843 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.844 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.845 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.872 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.906 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.916 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.947 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:00.986 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
01-01 01:01:19.869 I/battery_level(  573): [85,4239,350]
01-01 01:01:25.257 I/notification_cancel(  573): [10024,1042,com.google.android.deskclock,10436,NULL,0,0,64,8,NULL]
01-01 01:02:47.753 I/battery_level(  573): [86,4263,343]
01-01 01:04:28.173 I/battery_level(  573): [87,4281,343]
01-01 01:05:11.558 I/battery_level(  573): [88,4288,342]
01-01 01:06:42.434 I/battery_level(  573): [89,4305,342]
01-01 01:07:55.334 I/battery_level(  573): [90,4316,341]
01-01 01:09:09.226 I/battery_level(  573): [91,4326,341]
01-01 01:09:17.811 I/am_proc_start(  573): [0,1368,2000,com.google.android.apps.wearable.bugreportsender,service,com.google.android.apps.wearable.bugreportsender/com.google.android.clockwork.bugreportsender.ClockworkListenerService]
01-01 01:09:17.981 I/am_proc_start(  573): [0,1385,10012,com.lge.lifetracker,service,com.lge.lifetracker/.handheldcomm.WearReceiver]
01-01 01:09:18.029 I/am_proc_bound(  573): [0,1368,com.google.android.apps.wearable.bugreportsender]
01-01 01:09:18.429 I/am_proc_start(  573): [0,1404,10032,com.ustwo.watchfaces.bits,service,com.ustwo.watchfaces.bits/.BitsWearableService]
01-01 01:09:18.429 I/am_proc_bound(  573): [0,1385,com.lge.lifetracker]
01-01 01:09:18.743 I/am_proc_start(  573): [0,1424,10028,com.endomondo.android,service,com.endomondo.android/.wear.notifications.NotificationUpdateService]
01-01 01:09:18.980 I/am_proc_start(  573): [0,1446,10006,com.example.android.wearable.photoswatchface,service,com.example.android.wearable.photoswatchface/.PhotosListenerService]
01-01 01:09:18.985 I/am_proc_bound(  573): [0,1404,com.ustwo.watchfaces.bits]
01-01 01:09:19.004 I/am_proc_bound(  573): [0,1424,com.endomondo.android]
01-01 01:09:19.421 I/am_proc_start(  573): [0,1468,10013,com.lge.bioitplatform.sdservice.service,service,com.lge.bioitplatform.sdservice.service/com.lge.bioitplatform.data_sync.WearReceiver]
01-01 01:09:19.427 I/am_proc_bound(  573): [0,1446,com.example.android.wearable.photoswatchface]
01-01 01:09:19.655 I/notification_cancel(  573): [10012,1385,com.lge.lifetracker,10436,NULL,0,0,64,8,NULL]
01-01 01:09:19.754 I/am_proc_start(  573): [0,1491,10018,com.fitnesskeeper.runkeeper.pro,service,com.fitnesskeeper.runkeeper.pro/.services.RKWearService]
01-01 01:09:19.794 I/am_proc_bound(  573): [0,1468,com.lge.bioitplatform.sdservice.service]
01-01 01:09:19.850 I/am_proc_bound(  573): [0,1491,com.fitnesskeeper.runkeeper.pro]
11-09 18:52:22.496 I/notification_cancel(  573): [10032,1404,com.ustwo.watchfaces.bits,10436,NULL,0,0,64,8,NULL]
11-09 18:52:22.801 I/notification_cancel(  573): [10024,1042,com.google.android.deskclock,10436,NULL,0,0,64,8,NULL]
11-09 18:52:22.840 I/netstats_mobile_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:22.840 I/netstats_wifi_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:22.875 I/netstats_mobile_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:22.875 I/netstats_wifi_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:23.007 I/notification_cancel(  573): [1000,573,android,100,CaptivePortal.Notification,0,0,0,8,NULL]
11-09 18:52:23.166 I/netstats_mobile_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:23.166 I/netstats_wifi_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:24.597 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.598 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.599 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.600 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.602 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.603 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.604 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:24.606 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.143 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.144 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.145 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.167 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.195 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.196 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.197 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.222 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:25.382 I/netstats_mobile_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:25.382 I/netstats_wifi_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:25.407 I/netstats_mobile_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:25.407 I/netstats_wifi_sample(  573): [0,0,0,0,0,0,0,0,0,0,0,0,-1]
11-09 18:52:25.442 I/notification_cancel(  573): [1000,573,android,101,CaptivePortal.Notification,0,0,0,8,NULL]
11-09 18:52:25.824 I/notification_cancel_all(  573): [10010,670,com.android.providers.downloads,0,0,64,9,NULL]
11-09 18:52:25.991 I/notification_cancel(  573): [10011,970,com.google.android.gms,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.068 I/aggregation(  970): 1447091546068
11-09 18:52:26.426 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.427 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.428 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.434 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.436 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.436 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.437 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:52:26.441 I/notification_cancel(  573): [10025,1225,com.google.android.apps.fitness,10436,NULL,0,0,64,8,NULL]
11-09 18:53:24.192 I/battery_level(  573): [92,4341,343]
11-09 18:53:30.184 I/battery_level(  573): [91,4341,342]
11-09 18:53:36.590 I/am_pause_activity(  573): [0,367906466,com.lge.wearable.chargingmode/.ChargingActivity]
11-09 18:53:36.593 I/am_on_paused_called( 1273): [0,com.lge.wearable.chargingmode.ChargingActivity]
11-09 18:53:36.594 I/am_focused_activity(  573): [0,com.lge.wearable.chargingmode/.ChargingActivity]
11-09 18:54:30.232 I/battery_level(  573): [92,4352,341]
11-09 18:54:59.068 I/battery_level(  573): [93,4346,339]
11-09 18:56:26.946 I/battery_level(  573): [94,4346,337]
11-09 18:57:29.861 I/am_resume_activity(  573): [0,367906466,125,com.lge.wearable.chargingmode/.ChargingActivity]
11-09 18:57:29.945 I/power_screen_state(  573): [1,0,0,0]
11-09 18:57:29.945 I/screen_toggled(  573): 1
11-09 18:57:29.951 I/power_screen_broadcast_send(  573): 1
11-09 18:57:29.958 I/am_on_resume_called( 1273): [0,com.lge.wearable.chargingmode.ChargingActivity]
11-09 18:57:30.266 I/battery_status(  573): [3,2,1,0,Li-ion]
11-09 18:57:30.269 I/am_finish_activity(  573): [0,367906466,125,com.lge.wearable.chargingmode/.ChargingActivity,app-request]
11-09 18:57:30.269 I/am_home_stack_moved(  573): [0,1,0,0,finishActivity adjustFocus]
11-09 18:57:30.269 I/wm_task_moved(  573): [124,1,0]
11-09 18:57:30.272 I/am_home_stack_moved(  573): [0,1,0,0,finishActivity adjustTopFocus setFocusedActivity]
11-09 18:57:30.273 I/am_focused_activity(  573): [0,com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity]
11-09 18:57:30.275 I/am_pause_activity(  573): [0,367906466,com.lge.wearable.chargingmode/.ChargingActivity]
11-09 18:57:30.278 I/am_on_paused_called( 1273): [0,com.lge.wearable.chargingmode.ChargingActivity]
11-09 18:57:30.280 I/am_resume_activity(  573): [0,856648270,124,com.google.android.wearable.app/com.google.android.clockwork.home.HomeActivity]
11-09 18:57:30.329 I/sf_frame_dur(  174): [ColorFade,23,0,1,0,2,0,0]
11-09 18:57:30.345 I/sf_frame_dur(  174): [com.lge.wearable.chargingmode/com.lge.wearable.chargingmode.ChargingActivity,0,53,8,0,0,0,17]
11-09 18:57:30.514 I/am_on_resume_called(  735): [0,com.google.android.clockwork.home.HomeActivity]
11-09 18:57:30.767 I/am_destroy_activity(  573): [0,367906466,125,com.lge.wearable.chargingmode/.ChargingActivity,finish-idle]
11-09 18:57:30.905 I/wm_task_removed(  573): [125,removeAppToken: last token]
11-09 18:57:30.906 I/wm_task_removed(  573): [125,removeTask]
11-09 18:57:30.906 I/am_home_stack_moved(  573): [0,1,0,0,activityDestroyed leftTaskHistoryEmpty]
11-09 18:57:30.906 I/power_screen_broadcast_done(  573): [1,956,1]
11-09 18:57:45.624 I/power_sleep_requested(  573): 0
11-09 18:57:45.626 I/power_screen_state(  573): [0,3,0,0]
11-09 18:57:45.626 I/screen_toggled(  573): 0
11-09 18:57:45.626 I/power_screen_broadcast_send(  573): 1
11-09 18:57:45.830 I/power_screen_broadcast_done(  573): [0,204,1]
11-09 18:57:53.329 I/power_screen_state(  573): [1,0,0,0]
11-09 18:57:53.329 I/screen_toggled(  573): 1
11-09 18:57:53.330 I/power_screen_broadcast_send(  573): 1
11-09 18:57:53.413 I/power_screen_broadcast_done(  573): [1,84,1]
11-09 18:58:13.336 I/power_sleep_requested(  573): 0
11-09 18:58:13.337 I/power_screen_state(  573): [0,3,0,0]
